binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,random choice 2,constant_1,random label num 4,semi_constant_1,semi_constant_2,corr_feature_class,pd qcut3,correlated w target 2,standard scaling,constant_2,multicollinearity 1,random choice 4,multicollinearity 3,random label num 13,outliers 2,duplicate_2,random choice 7,correlated w target 1,uniform corr 2,min max scaling,pd qcut1,outliers 1,multicollinearity 2,uniform corr 1,pd qcut2,informative_1,target,multicollinearity 4,duplicate_1,informative_2,class
binary_1,Joann,Brown,1914-01-13,,yburke@example.org,46583 Julie Rue Suite 948,Jonesfurt,MN,27847,Rand Choice 1,constant_value,label num lo 2,q_const_0,q_const_0,-0.28838683493326656,G4,-1.9644167072039023,36404.26867119322,constant_value,-0.08696701788933398,North,,label num hi 8,5.65367720751942,-0.6638599972813359,Sunday,-2.3033995632211166,0.3987349294956658,,Low,-4.1617436330342255,0.08153327787648555,0.10127458705948028,Q2,-0.9991017824896424,-0.9042236742875388,1.4635305570643096,-0.9991017824896424,-0.6638599972813359,1
binary_1,Michelle,Burnett,,,ericadavis@example.com,90736 Richardson Neck Apt. 059,New Jordanside,GA,29951,,constant_value,,q_const_0,q_const_0,1.0095290561581922,G5,-0.8632657878052366,,constant_value,-1.7179300127394361,East,0.45407665807078657,label num hi 9,1.0026722274818676,1.153596854135379,Saturday,-4.699670558745892,0.6496058259698847,584.6931963099859,High,-1.5555032978903485,-1.8454193910449586,0.5067089242421282,Q3,1.2466861830450993,2.324369783092482,0.41641174699899186,1.2466861830450993,1.153596854135379,1
binary_1,Heidi,Cohen,,001-784-689-7718x885,gilmorekristine@example.net,4929 Jennifer Radial,Jessefort,NC,,,constant_value,,q_const_0,q_const_0,2.581846741209616,G5,-0.6468485181803889,51206.39138536853,constant_value,-2.351610391070285,West,0.03018793142112604,label num hi 4,6.12125095185718,0.8593974662590766,Wednesday,-1.3926428454759776,0.7245544717280009,202.58286935764707,,1.84554011335346,-1.6553824758494666,0.3681922040660928,,0.9627768269601935,1.7782165547025084,-0.05843212499676717,0.9627768269601935,0.8593974662590766,1
binary_1,Kimberly,,1987-02-17,001-862-374-5496x67084,,367 Figueroa Orchard Suite 428,West Randy,ME,99026,,constant_value,label num lo 2,q_const_0,q_const_0,4.793697557810519,G6,3.088349174558207,61944.97689260777,constant_value,0.14775031636619695,West,,label num hi 3,,2.0336452879154674,,4.48429015122067,0.98395628696114,383.25330854192333,High,0.34464496700378594,,0.8657272007209874,Q4,-2.9574409509433037,5.451234575139656,-0.22511907306520967,-2.9574409509433037,2.0336452879154674,1
binary_1,Michelle,,,973-962-4494x3015,kherring@example.org,8977 Jonathan Mountains,Jimhaven,OH,68140,,constant_value,,q_const_0,q_const_0,1.5576573868593142,G5,,,constant_value,-1.1693673716574333,,,,,1.05944863351561,Sunday,-0.6025069770649254,0.7144227737824398,423.5087406033883,,0.3259967606881033,,0.7779341358362641,Q3,1.1411652716579705,2.1539258469951807,0.0875032380031284,1.1411652716579705,1.05944863351561,1
binary_2,Daniel,,1922-09-28,,jjohnson@example.org,661 James Coves,,IA,31113,,constant_value,,q_const_0,q_const_0,3.681955568095206,G6,2.897180187223208,50425.90806420268,constant_value,0.2870574729023701,East,1.0199101111800282,label num hi 10,0.7251423220963567,2.399635889224372,Wednesday,3.8276313859753093,0.9786797375343212,575.161453053805,High,-1.5765717952872464,-0.7348435226508878,0.6164937760277455,Q4,2.485477863898728,4.626787069235547,1.7776567287990663,2.485477863898728,2.399635889224372,1
binary_1,Kaitlyn,,,(354)669-6753,ccannon@example.com,4060 Smith Road,New Eric,MH,33973,,constant_value,label num lo 2,q_const_0,q_const_0,1.6139234330403478,G3,-2.2530538079148337,41020.50776958575,constant_value,0.006969515763274762,South,-1.0992941680112736,label num hi 1,4.029051898135232,-0.747560845179044,Sunday,0.5477193496236775,0.049017475681647715,514.2529424388912,Low,0.3749758502932599,,0.6450460502403286,Q2,-0.6479636736717482,-1.187224231921867,-1.2977042151553126,-0.6479636736717482,-0.747560845179044,0
binary_2,James,,,,janetrowe@example.net,6592 Stephen Terrace,South Davidberg,LA,,,constant_value,label num lo 2,q_const_0,q_const_0,4.677344909822349,G3,-0.35751685541845596,,constant_value,-1.7029223592573488,North,0.6008045543451105,label num hi 2,,-0.8182224427035356,Sunday,2.025545139561913,0.05719074439896081,289.89821676864955,,0.8788733385824891,-1.3179787040531863,0.732917197999988,Q2,-0.8922328125534437,-1.266374292198878,-0.07481734211824428,-0.8922328125534437,-0.8182224427035356,0
binary_1,Jessica,,,777.750.2428,michaeljohnson@example.com,63202 Karen Stravenue Suite 714,Carolville,GU,,Rand Choice 1,constant_value,label num lo 1,q_const_0,q_const_0,1.0375089548051748,G4,-2.176561890486898,,constant_value,-0.6147777144547585,West,-0.16020681506244963,label num hi 9,-0.36859153143968104,-0.09154666780661158,,2.181588706176767,0.2963993559275846,363.21362539833393,High,-0.0353678125251249,-0.8389485898809464,0.15774542259929858,Q3,-0.7273359834485558,0.2411105626158082,0.20777619135830133,-0.7273359834485558,-0.09154666780661158,0
binary_2,John,,1947-03-09,(342)600-7808,tsanders@example.com,15983 Christopher Hill Suite 184,Gregoryview,CO,79583,Rand Choice 2,constant_value,,q_const_0,q_const_0,1.754104599015152,G1,-4.7111843924345465,50701.7910689388,constant_value,-1.1740848110154711,East,-0.5975210630290271,label num hi 11,-1.2025221597038227,-1.8069333466532713,,0.11055252354687184,0.44746933393426475,481.586896276947,Low,-5.487576974611623,0.04272145539064705,0.041422646747252795,Q1,0.9753643211025785,-3.935564389564147,-0.45856416245174036,0.9753643211025785,-1.8069333466532713,0
binary_2,,,1989-11-03,+1-307-611-5121x217,sharon68@example.org,8135 Douglas Drives,North Amyport,PA,84536,,constant_value,,q_const_0,q_const_0,4.827846141148564,G5,-1.0025665057538973,48491.95483801337,constant_value,-0.04029581400545572,North,-0.6001341449440853,,1.4191756555281703,0.6640066001907508,Tuesday,-2.1213804976864474,0.222799026164144,,High,0.12150978990793893,,0.5215977765373285,Q3,0.5210909070320509,1.4902846231827178,-0.9435324561464739,0.5210909070320509,0.6640066001907508,1
binary_1,Kelly,,2017-02-26,583.890.4989,,711 Julie Forks Apt. 595,East Jameschester,CT,13270,Rand Choice 1,constant_value,,q_const_0,q_const_0,2.621576020581014,,2.217577680370294,,constant_value,0.38602529362800414,North,-0.41541977309229383,label num hi 2,,1.0453063757400651,Saturday,-2.530331499700913,0.685987318663678,326.34391620239705,High,-0.5171575651127149,0.9816671453097634,0.7500630307088012,,1.298410809303382,2.077177886048961,-0.7940057910405859,1.298410809303382,1.0453063757400651,1
binary_1,Allison,Hatfield,1977-01-30,(674)346-9621,bradleyortiz@example.com,2417 Alison Run,Johnsonchester,AZ,,Rand Choice 1,constant_value,label num lo 2,q_const_0,q_const_0,4.532006115527884,G4,0.9690893590613902,52325.45116313042,constant_value,-0.7214893695420593,,,label num hi 9,5.511336040824261,-0.21730425574735168,Sunday,2.7807585557688426,0.8985380549950811,315.40477802758943,Low,-0.3351802331589679,,0.2926023534221799,Q2,-0.6860766332166293,-0.04039569818845051,-1.617849302347756,-0.6860766332166293,-0.21730425574735168,0
binary_1,Nicole,Mcgrath,1911-09-08,001-903-246-7394x1204,youngallison@example.org,3653 Christine Rue,South Kim,MP,,,constant_value,,q_const_0,q_const_0,1.928408971199794,,3.921618296444376,56172.393050523155,constant_value,-0.20123087198653322,West,,label num hi 3,2.975464169822592,2.7119608896597107,Wednesday,-1.8897439643859117,0.7782099112331737,395.8090584657993,High,,0.07050175036454136,0.8998457076942741,Q4,2.9251395877620867,5.165736554096396,0.22358016916310675,2.9251395877620867,2.7119608896597107,1
binary_2,Luis,Abbott,,4029846286,scott10@example.com,0606 Heather Skyway,,FM,,,constant_value,,q_const_0,q_const_0,3.26140580380071,G6,0.696450085608834,37408.27788022672,constant_value,-0.872335717017074,North,,label num hi 8,-0.6433642503930872,1.646367141258015,Saturday,6.188638848841485,0.9099277100292416,504.3663374601589,High,2.3913970821746906,-0.7399186719275507,0.5107951729611003,Q4,1.882030027039841,3.1919319238247565,-0.32102779860378294,1.882030027039841,1.646367141258015,1
binary_1,Erika,Moore,,+1-465-290-9441,deborahbenjamin@example.com,231 Silva Mission,Susanmouth,NV,,Rand Choice 1,constant_value,label num lo 1,q_const_0,q_const_0,0.5197949677363889,G5,2.439998180715427,,constant_value,0.18402544245434493,East,,label num hi 1,4.298967105110059,1.0474848470309324,,6.4429485080635125,0.6242866039961015,173.84584415613025,,-1.571186214881195,0.5013349280290754,0.5567354114878735,Q3,1.0198391116840506,2.16415341226954,0.28924984141840443,1.0198391116840506,1.0474848470309324,1
