binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,random choice 2,random label num 4,semi_constant_1,semi_constant_2,corr_feature_class,pd qcut3,correlated w target 2,standard scaling,multicollinearity 1,random choice 4,multicollinearity 3,random label num 13,outliers 2,duplicate_2,random choice 7,correlated w target 1,uniform corr 2,min max scaling,pd qcut1,outliers 1,multicollinearity 2,uniform corr 1,pd qcut2,informative_1,target,multicollinearity 4,duplicate_1,informative_2,class
binary_1,Joann,Brown,1914-01-13,,yburke@example.org,46583 Julie Rue Suite 948,Jonesfurt,MN,27847.0,Rand Choice 1,label num lo 2,q_const_0,q_const_0,-0.2883868349332665,G4,-1.9644167072039025,36404.26867119322,-0.0869670178893339,North,,label num hi 8,5.65367720751942,-0.6638599972813359,Sunday,-2.3033995632211166,0.3987349294956658,,Low,-4.1617436330342255,0.0815332778764855,0.1012745870594802,Q2,-0.9991017824896424,-0.9042236742875388,1.4635305570643096,-0.9991017824896424,-0.6638599972813359,1
binary_1,Michelle,Burnett,,,ericadavis@example.com,90736 Richardson Neck Apt. 059,New Jordanside,GA,29951.0,,,q_const_0,q_const_0,1.0095290561581922,G5,-0.8632657878052366,,-1.717930012739436,East,0.4540766580707865,label num hi 9,1.0026722274818676,1.153596854135379,Saturday,-4.699670558745892,0.6496058259698847,584.6931963099859,High,-1.5555032978903485,-1.8454193910449583,0.5067089242421282,Q3,1.2466861830450993,2.324369783092482,0.4164117469989918,1.2466861830450993,1.153596854135379,1
binary_1,Heidi,Cohen,,001-784-689-7718x885,gilmorekristine@example.net,4929 Jennifer Radial,Jessefort,NC,,,,q_const_0,q_const_0,2.581846741209616,G5,-0.6468485181803889,51206.39138536853,-2.351610391070285,West,0.030187931421126,label num hi 4,6.12125095185718,0.8593974662590766,Wednesday,-1.3926428454759776,0.7245544717280009,202.58286935764707,,1.84554011335346,-1.6553824758494666,0.3681922040660928,,0.9627768269601936,1.7782165547025084,-0.0584321249967671,0.9627768269601936,0.8593974662590766,1
binary_1,Kimberly,,1987-02-17,001-862-374-5496x67084,,367 Figueroa Orchard Suite 428,West Randy,ME,99026.0,,label num lo 2,q_const_0,q_const_0,4.793697557810519,G6,3.088349174558207,61944.97689260777,0.1477503163661969,West,,label num hi 3,,2.0336452879154674,,4.48429015122067,0.98395628696114,383.25330854192333,High,0.3446449670037859,,0.8657272007209874,Q4,-2.9574409509433037,5.451234575139656,-0.2251190730652096,-2.9574409509433037,2.0336452879154674,1
binary_1,Michelle,,,973-962-4494x3015,kherring@example.org,8977 Jonathan Mountains,Jimhaven,OH,68140.0,,,q_const_0,q_const_0,1.5576573868593142,G5,,,-1.169367371657433,,,,,1.05944863351561,Sunday,-0.6025069770649254,0.7144227737824398,423.5087406033883,,0.3259967606881033,,0.7779341358362641,Q3,1.1411652716579703,2.1539258469951807,0.0875032380031284,1.1411652716579703,1.05944863351561,1
binary_2,Daniel,,1922-09-28,,jjohnson@example.org,661 James Coves,,IA,31113.0,,,q_const_0,q_const_0,3.681955568095206,G6,2.897180187223208,50425.90806420268,0.2870574729023701,East,1.0199101111800282,label num hi 10,0.7251423220963567,2.399635889224372,Wednesday,3.8276313859753097,0.9786797375343212,575.161453053805,High,-1.5765717952872464,-0.7348435226508878,0.6164937760277455,Q4,2.485477863898728,4.626787069235547,1.7776567287990663,2.485477863898728,2.399635889224372,1
binary_1,Kaitlyn,,,(354)669-6753,ccannon@example.com,4060 Smith Road,New Eric,MH,33973.0,,label num lo 2,q_const_0,q_const_0,1.6139234330403478,G3,-2.2530538079148337,41020.50776958575,0.0069695157632747,South,-1.0992941680112736,label num hi 1,4.029051898135232,-0.747560845179044,Sunday,0.5477193496236775,0.0490174756816477,514.2529424388912,Low,0.3749758502932599,,0.6450460502403286,Q2,-0.6479636736717482,-1.187224231921867,-1.2977042151553126,-0.6479636736717482,-0.747560845179044,0
binary_2,James,,,,janetrowe@example.net,6592 Stephen Terrace,South Davidberg,LA,,,label num lo 2,q_const_0,q_const_0,4.677344909822349,G3,-0.3575168554184559,,-1.7029223592573488,North,0.6008045543451105,label num hi 2,,-0.8182224427035356,Sunday,2.025545139561913,0.0571907443989608,289.89821676864955,,0.8788733385824891,-1.3179787040531863,0.732917197999988,Q2,-0.8922328125534437,-1.266374292198878,-0.0748173421182442,-0.8922328125534437,-0.8182224427035356,0
binary_1,Jessica,,,777.750.2428,michaeljohnson@example.com,63202 Karen Stravenue Suite 714,Carolville,GU,,Rand Choice 1,label num lo 1,q_const_0,q_const_0,1.0375089548051748,G4,-2.176561890486898,,-0.6147777144547585,West,-0.1602068150624496,label num hi 9,-0.368591531439681,-0.0915466678066115,,2.181588706176767,0.2963993559275846,363.21362539833393,High,-0.0353678125251249,-0.8389485898809464,0.1577454225992985,Q3,-0.7273359834485558,0.2411105626158082,0.2077761913583013,-0.7273359834485558,-0.0915466678066115,0
binary_2,John,,1947-03-09,(342)600-7808,tsanders@example.com,15983 Christopher Hill Suite 184,Gregoryview,CO,79583.0,Rand Choice 2,,q_const_0,q_const_0,1.754104599015152,G1,-4.7111843924345465,50701.7910689388,-1.1740848110154711,East,-0.5975210630290271,label num hi 11,-1.2025221597038227,-1.806933346653271,,0.1105525235468718,0.4474693339342647,481.586896276947,Low,-5.487576974611623,0.042721455390647,0.0414226467472527,Q1,0.9753643211025784,-3.935564389564147,-0.4585641624517403,0.9753643211025784,-1.806933346653271,0
